time,angle,ctrl_BIClong,ctrl_BICshort,ctrl_BRA,ctrl_TRIlong,ctrl_TRIlat,ctrl_TRImed,tau_id,sim_angle_deg,sim_vel_deg_s,sim_acc_deg_s2,used_angle_deg,used_vel_deg_s,used_acc_deg_s2
0.0,20.636407499999997,6.926765e-08,8.868744e-08,2.5313197e-08,0.04723387,0.114076205,0.15228164,2.0316963,20.65616,-4.591752,602.78107,20.702077277829925,-10.31554368287404,147.5280848908353
0.01,20.602573,0.0,0.0,0.0,0.043399036,0.10217018,0.1344245,2.035406,20.62987,-2.629117,206.68805,20.60309969127912,-8.852098084501934,142.55215746214148
0.02,20.503480500000002,0.0,0.0,0.0,0.0412842,0.09690455,0.12733696,2.0384963,20.597738,-3.2130852,-61.49855,20.519542485734135,-7.4436859948439515,137.32152374103495
0.03,20.4548725,0.0,0.0,0.0,0.04002696,0.09436419,0.12431941,2.0410156,20.542929,-5.48096,-238.83333,20.45063023306384,-6.092544062279052,131.82597608137038
0.04,20.434135,0.0,0.0,0.0,0.03920769,0.09303895,0.12300578,2.0430093,20.454803,-8.812402,-350.83917,20.39558750513711,-4.800908935186193,126.05530683700252
0.05,20.392763,0.0,0.0,3.4725076e-10,0.03862649,0.092216656,0.122300126,2.0445173,20.327202,-12.760266,-415.75552,20.35363887382282,-3.5710172619443314,119.99930836178603
0.06,20.3756365,0.0,0.0,1.0369247e-09,0.03814125,0.091523014,0.121691406,2.0455766,20.157194,-17.000824,-446.57944,20.32400891098984,-2.4051056909324258,113.64777300957567
0.07,20.347383999999998,0.0,0.0,3.9297847e-05,0.037685096,0.090801,0.12097695,2.046221,19.94422,-21.297379,-452.47668,20.305922188507036,-1.3054108705294318,106.99049313422682
0.08,20.322973,0.0,0.0,0.00038232506,0.037240013,0.09001978,0.12012543,2.0464811,19.689453,-25.476545,-440.1143,20.298603278243288,-0.27416944911431074,99.8355685240889
0.09,20.3190125,0.0,0.0,0.0006506847,0.036763337,0.089100696,0.11904801,2.0463862,19.39532,-29.41323,-414.57828,20.301276752067462,0.6863819249339809,92.48238339329441
0.1,20.318807,0.0,0.0,0.00086429255,0.03625294,0.08805218,0.117764585,2.045963,19.065155,-33.01671,-379.48743,20.31316718184843,1.5740066032364872,84.79273454641694
0.11,20.322414,0.0018824906,0.0021367979,0.0009886676,0.035897844,0.08729674,0.116818786,2.0452378,18.702923,-36.2232,-337.68082,20.333499139455068,2.386467937414249,76.77412260393271
0.12,20.33625,0.0037919076,0.0045596985,0.0010741844,0.03558479,0.08660838,0.11593927,2.0442355,18.313135,-38.97869,-290.18454,20.361497196756247,3.121529279088304,68.47730243166149
0.13,20.362446,0.0053546396,0.006533885,0.0011417854,0.03533487,0.086041644,0.11520185,2.0429804,17.900894,-41.22421,-236.4788,20.396385925620837,3.7884746173484705,59.94064571077493
0.14,20.394514,0.0067839124,0.008331795,0.0012034206,0.035112873,0.085528195,0.114525914,2.0414968,17.471466,-42.942696,-180.97664,20.43738989791771,4.329727819093132,51.192408191071806
0.15,20.417918,0.008164618,0.010062048,0.001262736,0.034905165,0.08504233,0.11388179,2.0398088,17.030079,-44.138767,-125.96014,20.48373368551574,4.7882210830573495,42.36051013615191
0.16,20.5226785,0.009525328,0.011761397,0.0013209342,0.03470713,0.084576026,0.11326086,2.0379407,16.581785,-44.8294,-72.73134,20.5346418602838,5.1647874562814335,33.50021426941706
0.17,20.5226785,0.010871133,0.013436756,0.0013782091,0.034517687,0.08412808,0.112662494,2.0359178,16.131392,-45.03939,-22.114384,20.589338994090756,5.455347901669239,24.663598856140066
0.18,20.645857,0.012197616,0.015083058,0.0014343546,0.03433703,0.0836996,0.112088725,2.0337656,15.683403,-44.79884,25.332474,20.647049658805486,5.659068516971704,15.988529628928706
0.19,20.678608,0.013496765,0.016690798,0.0014890197,0.034165718,0.083292246,0.111542135,2.0315104,15.241987,-44.141514,69.224144,20.70699842629625,5.7821209572478764,7.629200009796665
0.2,20.794117,0.0147054875,0.018182324,0.0015395457,0.03401111,0.082921885,0.111043125,2.0293593,14.810951,-43.1036,109.30442,20.763701217762197,5.818751138290714,-0.13296055757135347
0.21,20.8709925,0.015899003,0.01965167,0.0015891424,0.033862863,0.08256729,0.1105654,2.02712,14.393704,-41.724686,145.21523,20.822236648749467,5.780616493199593,-7.4074091937868545
0.22,20.9377365,0.017020848,0.021029554,0.0016354368,0.033727337,0.08224174,0.11012573,2.024932,13.993272,-40.043236,177.07605,20.878969620708293,5.6707507747711485,-14.346712039786219
0.23,20.968586,0.01807679,0.022323832,0.0016787117,0.033603035,0.081942275,0.10972061,2.0227945,13.612291,-38.09813,204.84218,20.933950180593698,5.484487651959602,-20.74119109317202
0.24,21.029572,0.01908207,0.023553787,0.0017196432,0.03348751,0.08166387,0.10934375,2.0206594,13.253016,-35.927452,228.59724,20.98845018444745,5.241301573639559,-26.480401654248887
0.25,21.059821,0.020003028,0.024678785,0.0017568521,0.033384006,0.08141319,0.10900359,2.0186183,12.917343,-33.56733,248.54819,21.040170265832774,4.9466192503080535,-31.479093011276483
0.26,21.14064,0.02083781,0.025697237,0.0017903146,0.033292044,0.081189305,0.10869902,2.0166957,12.606815,-31.052776,264.81122,21.088546255310995,4.610738351890968,-35.642117903021585
0.27,21.187449,0.021592809,0.026617477,0.0018203495,0.03321032,0.080989525,0.1084267,2.014885,12.322643,-28.417233,277.5532,21.133824664164496,4.238175808645196,-39.039503695588806
0.28,21.227592,0.022238495,0.0274042,0.0018457712,0.033141483,0.080819316,0.10819351,2.013285,12.065723,-25.691977,287.00064,21.17359596242524,3.8261460602852795,-41.862948893290095
0.29,21.276744,0.022795932,0.028083395,0.0018675186,0.033082787,0.080673,0.10799236,2.0118606,11.836654,-22.906965,293.29376,21.208826773514936,3.380914546680988,-44.33266429115879
0.3,21.29232,0.023260875,0.028650258,0.0018854544,0.033034302,0.08055066,0.10782329,2.0106287,11.635756,-20.089796,296.6804,21.23916211731089,2.919292808792138,-46.5547410316575
0.31,21.317507,0.023642845,0.029116524,0.001900012,0.03299475,0.08044954,0.10768278,2.0095665,11.463097,-17.265886,297.39008,21.26521574245667,2.4472243202204873,-48.496643537774005
0.32,21.3358615,0.023909803,0.029443828,0.001909881,0.032967173,0.08037589,0.107578665,2.0087783,11.318515,-14.458229,295.67856,21.284495567490897,1.963711107788416,-50.34350760601855
0.33,21.333138,0.024137177,0.02972293,0.0019182462,0.032943718,0.08031334,0.10749031,2.0080533,11.201629,-11.688581,291.6758,21.3021799246736,1.4614760518902785,-52.29169137846415
0.34,21.332582,0.02421126,0.029817386,0.0019203475,0.032935802,0.08028546,0.10744723,2.0077147,11.111878,-8.975005,285.77072,21.3104274656705,0.9258512798659582,-54.82796824888821
0.35000000000000003,21.323776,0.024258142,0.029878378,0.001921504,0.032930646,0.0802658,0.107416235,2.0074396,11.048517,-6.3360972,277.90735,21.317119058997417,0.3559451081382473,-58.26567494965225
0.36,21.307772,0.024204979,0.029818602,0.0019186373,0.03293558,0.08026929,0.107415915,2.0074031,11.010653,-3.786555,268.49612,21.318010442116933,-0.24498194997409198,-62.442163607490585
0.37,21.28819,0.024063423,0.029651864,0.0019122453,0.03294947,0.08029366,0.10744344,2.007604,10.99725,-1.3402816,257.62073,21.313125939708335,-0.8568443204680785,-67.1508222773972
0.38,21.24994,0.023836976,0.029382177,0.0019024708,0.032972068,0.080338396,0.10749815,2.008052,11.00715,0.99000543,245.40602,21.302211126742456,-1.5175633073549641,-71.90359106883517
0.39,21.236347,0.023509275,0.02898969,0.0018886129,0.033005167,0.080407284,0.10758486,2.0088205,11.039077,3.1927655,231.97597,21.283459757922415,-2.2441265752116157,-76.2307880825138
0.4,21.209406,0.02311022,0.028509915,0.0018719196,0.03304595,0.08049453,0.10769629,2.0098505,11.091647,5.2570004,217.38765,21.258260070457283,-3.0339296039638985,-79.85808542856302
0.41000000000000003,21.178833,0.022656936,0.0279632,0.0018530869,0.033092856,0.08059679,0.10782815,2.011089,11.163379,7.17319,201.79684,21.227837831143862,-3.906018184004002,-82.9586236977772
0.42,21.1639385,0.022136226,0.027333558,0.0018315207,0.033147432,0.080717206,0.10798434,2.0125718,11.252714,8.933556,185.38675,21.191256635616252,-4.771204220069918,-85.37587355775344
0.43,21.118174,0.021518428,0.026585031,0.0018059263,0.033213045,0.08086295,0.10817393,2.0144126,11.358027,10.531285,168.25926,21.145584702651394,-5.641967972895981,-87.12182219065086
0.44,21.084078,0.02084208,0.025763502,0.0017779187,0.03328604,0.08102653,0.10838758,2.016537,11.477622,11.959451,150.40224,21.092525891029265,-6.4950640939859134,-87.36469234924101
0.45,21.065555500000002,0.020019125,0.02476254,0.0017436744,0.03337618,0.08122872,0.10865161,2.0192406,11.609746,13.212379,131.94783,21.024438992444004,-7.314158303013926,-84.70242995626181
0.46,21.004553,0.019179836,0.023738435,0.0017087548,0.033470094,0.08144183,0.10893129,2.0222,11.752572,14.282621,112.70883,20.949162980426358,-8.109115893081608,-79.729852450857
0.47000000000000003,20.983865,0.018296862,0.02265835,0.0016719205,0.033570927,0.081672214,0.109234445,2.0254507,11.904229,15.165746,93.00305,20.865562314106196,-8.876123827227923,-72.23898082939779
0.48,20.937864500000003,0.01736457,0.021515375,0.0016328763,0.033679616,0.08192193,0.10956363,2.029006,12.062817,15.858754,72.98185,20.7729667721205,-9.606178312984149,-61.57903971474619
0.49,20.883309500000003,0.016417114,0.020350821,0.0015930654,0.033792607,0.08218347,0.10990935,2.0327635,12.226414,16.359642,52.74923,20.673754138962952,-10.203318975774266,-47.629744204217666
0.5,20.791,0.015348235,0.019035585,0.0015477797,0.03392249,0.08248379,0.11030571,2.037046,12.393097,16.668373,32.513004,20.558886609121668,-10.688055917890702,-30.116510107675698
0.51,20.7527005,0.014423942,0.017892955,0.0015086883,0.034038544,0.08275763,0.11067024,2.0410864,12.560926,16.782951,12.066415,20.448682156457004,-10.864054724560441,-9.133698426398709
0.52,20.563628,0.013476405,0.016719962,0.0014683625,0.034159902,0.08304465,0.11105234,2.0452309,12.728017,16.709015,-7.7863793,20.33369375493071,-10.840769462628723,14.368569536175631
0.53,20.563628,0.012677798,0.015727181,0.0014344408,0.03426552,0.08329943,0.11139432,2.0489607,12.892539,16.45224,-27.04137,20.22843153574812,-10.628746965779778,39.405041315723174
0.54,20.325916,0.011993784,0.0148742,0.001405414,0.034358457,0.08352708,0.11170181,2.0522451,13.052782,16.02433,-45.063976,20.134278714314117,-10.034328795774382,66.2908570896062
0.55,20.257692,0.011175192,0.013856118,0.0013701799,0.03446954,0.08379377,0.11205847,2.0558097,13.207186,15.440296,-61.505413,20.03045643331924,-9.180683461387234,94.18459682111373
0.56,20.0679905,0.010642061,0.013187911,0.0013475381,0.03454579,0.08398564,0.11232034,2.058541,13.354275,14.708951,-77.01906,19.94970177942238,-8.048508332407307,122.02489608758755
0.5700000000000001,19.996351,0.009946364,0.012320454,0.0013174324,0.034643475,0.08422277,0.1126387,2.0615797,13.492768,13.84932,-90.52896,19.85857165158911,-6.644109512334209,150.7432164868324
0.58,19.886135,0.009598569,0.011881387,0.0013027895,0.034696594,0.08436295,0.11283365,2.0635989,13.621489,12.872088,-102.91382,19.797234709775815,-4.979356688603582,181.45278209264697
