time,angle,ctrl_BIClong,ctrl_BICshort,ctrl_BRA,ctrl_TRIlong,ctrl_TRIlat,ctrl_TRImed,tau_id,sim_angle_deg,sim_vel_deg_s,sim_acc_deg_s2,used_angle_deg,used_vel_deg_s,used_acc_deg_s2
0.0,11.554587000000001,3.5385757e-08,4.432282e-08,1.7630486e-08,0.048877973,0.1464748,0.20264664,1.4235855,10.969318,-49.344143,1225.986,11.462759564602877,-60.98566388498739,446.6729909479238
0.01,11.159019,0.0,0.0,0.0,0.045344885,0.13207798,0.17925674,1.450865,10.553163,-41.615585,813.9062,10.864516297549455,-56.53670075516822,443.1982701062443
0.02,10.451742,0.0,0.0,0.0,0.04362371,0.12715907,0.17246221,1.4742539,10.186894,-36.626785,525.3778,10.314770136090791,-52.1110529247862,439.4708286044048
0.03,9.827765,0.0,0.0,0.0,0.04277336,0.12581722,0.17131951,1.494237,9.851318,-33.5576,323.2209,9.812228554689037,-47.720824331762486,435.2720522606333
0.04,9.5479015,0.0,0.0,0.0,0.04235332,0.1260392,0.17250936,1.5112448,9.870556,1.9237694,3736.596,9.355599027806349,-43.37811891401825,430.3833268931578
0.05,8.769106,0.0,0.0,0.0,0.042730145,0.1283686,0.17636032,1.5256582,9.901667,3.1110601,125.03537,8.943589029904878,-39.09504060947466,424.5860383202063
0.06,8.347173,0.0,0.0,0.0,0.04319673,0.13078395,0.18022032,1.537811,9.925569,2.3901813,-75.91683,8.574906035446778,-34.88369335605287,417.6615723600067
0.07,7.850144500000001,0.0,0.0,4.6456267e-10,0.043664806,0.13304752,0.18378264,1.5479946,9.943139,1.7570637,-66.67456,8.248257518894203,-30.756181091674065,409.39131483078944
0.08,7.58843225,0.0,0.0,9.1595925e-10,0.044104557,0.13509159,0.18696831,1.556461,9.955981,1.2842544,-49.792267,7.962350954709306,-26.724607754259388,398.932264401658
0.09,7.4113934,0.0,0.0,1.2695255e-09,0.04450046,0.13689078,0.18975614,1.563426,9.965106,0.9123864,-39.161976,7.715893817354241,-22.801077281730024,386.4934078576507
0.1,7.30964015,0.0,0.0,0.00012186474,0.04485336,0.13846433,0.19218229,1.5690737,9.971243,0.61372,-31.453009,7.507593581291161,-18.99769361200712,371.94634690127634
0.11,7.24537825,0.0,0.0,0.00028132912,0.045152083,0.13979606,0.19423597,1.5735582,9.975133,0.38903868,-23.661524,7.336157720982219,-15.326560683011863,355.04210236285627
0.12,7.2159915,0.0,0.0,0.00041346025,0.045389805,0.1408781,0.19591464,1.5770078,9.977484,0.23509952,-16.211563,7.20029371088957,-11.799782432665381,336.8657264993882
0.13,7.155027,0.0,0.0,0.0005251712,0.04556713,0.14172064,0.19723725,1.5795269,9.978853,0.13688561,-10.343055,7.098709025475366,-8.439046967027044,317.59319665080164
0.14,7.166913299999999,0.0,0.0,0.00062146137,0.04568531,0.14233428,0.1982222,1.5811989,9.979605,0.0751233,-6.504281,7.030111139201762,-5.39356773310981,297.9740734200144
0.15,7.174694,0.0,0.0,0.0007060151,0.045745805,0.14272916,0.19888653,1.5820888,9.979974,0.03698557,-4.016342,6.9932075265309095,-2.589664819668249,278.4930393809609
0.16,7.1641042,0.0,0.0,0.0007816495,0.04574984,0.14291404,0.19924472,1.5822449,9.980117,0.014277101,-2.3914628,6.9867056619249635,0.08458264185259277,258.51052844324875
0.17,7.2077174,0.0,0.0,0.00085025805,0.04569961,0.14289974,0.1993136,1.5817013,9.980134,0.0016807882,-1.3265365,7.009313019846077,2.48104193089067,238.18092249336627
0.18,7.2443275,0.0,0.0,0.00091328245,0.045597263,0.14269674,0.19910917,1.5804797,9.98009,-0.004318473,-0.6317912,7.059737074756404,4.78823784322739,217.51996784994188
0.19,7.3390775,0.00055497186,0.00044511925,0.0009640023,0.045477886,0.14240828,0.19876781,1.5785912,9.98003,-0.0060659717,-0.18403174,7.136685301117894,6.958503152541071,198.36620108495703
0.2,7.49530785,0.0011223225,0.0011540873,0.0010040192,0.045348633,0.14206275,0.19833162,1.576436,9.979976,-0.0053771604,0.07253977,7.223064849429336,8.932915836185321,182.74659198962615
0.21,7.550206,0.001643754,0.0018059807,0.0010393461,0.045200136,0.14164066,0.19777988,1.5739437,9.979944,-0.0032206387,0.22710653,7.321149693618268,10.824540728204417,171.10622407875957
0.22,7.669205,0.0021570174,0.002447543,0.0010738953,0.045052335,0.14120196,0.19719297,1.5710168,9.979948,0.00045448015,0.38703227,7.43399966987454,12.459606480110265,165.0744764635577
0.23,7.84882595,0.0026964443,0.0031216387,0.0011099717,0.044896744,0.14072886,0.19655171,1.5675974,9.979995,0.004675675,0.44454035,7.562828035943702,13.96813990139339,165.5872378224854
0.24,7.9054704,0.0032446855,0.00380656,0.0011463976,0.044738825,0.14023967,0.19588193,1.5638065,9.980084,0.008943052,0.44940385,7.702108648095718,15.4556342578724,172.57437600022863
0.25,8.094364,0.004035245,0.0047940006,0.0011985677,0.044517078,0.13956904,0.19497174,1.5586002,9.980214,0.012940199,0.42094564,7.887800516421355,17.02311713732901,186.21348052135568
0.26,8.2368845,0.0046040094,0.0055040875,0.0012357449,0.044354852,0.13904932,0.19424689,1.5539441,9.980389,0.01745515,0.47547624,8.04882719778893,18.953850114849875,205.85207642618514
0.27,8.416155,0.005538095,0.006670046,0.0012964774,0.04410016,0.13827911,0.19319716,1.5473735,9.980599,0.021122834,0.38624924,8.26869459704606,21.089451422858897,228.7351005720946
0.28,8.640967,0.0063817855,0.0077226977,0.0013507584,0.04387131,0.13756931,0.19221644,1.540678,9.980854,0.02542246,0.45280012,8.48469801457052,23.62949551497659,253.24063473594856
0.29,8.895118,0.007365625,0.008949718,0.0014135395,0.043610975,0.13677344,0.19112101,1.5329311,9.98115,0.029533181,0.43290627,8.725519454046198,26.48406080558499,278.5528679766166
0.3,9.122384499999999,0.008682827,0.010591551,0.0014968389,0.043274518,0.13577376,0.1897583,1.5230652,9.981487,0.033765715,0.44573435,9.019605219963232,29.49146652518793,302.6730306747743
0.31,9.4245845,0.009723273,0.011887728,0.0015616636,0.04301005,0.13495553,0.18861951,1.5137646,9.981878,0.039093334,0.56105965,9.285354100775557,32.82464436037762,326.3504888619059
0.32,9.750484,0.011301094,0.013851769,0.0016593564,0.042627595,0.13383572,0.1870934,1.5014254,9.982315,0.04372534,0.48780364,9.622787778175274,36.25218484752241,351.48526422910976
0.33,10.1345835,0.012838666,0.01576411,0.001753137,0.042264216,0.13276084,0.18561615,1.4883265,9.982811,0.04959508,0.6181511,9.964393714537515,39.82994589939784,379.7478414177459
0.34,10.53023925,0.014718294,0.018099358,0.0018664188,0.041837372,0.13152793,0.18393286,1.472601,9.983369,0.055797778,0.6532153,10.35489345599585,43.55039417274714,411.829619936696
0.35000000000000003,10.95424825,0.017205395,0.021184813,0.0020140987,0.041299798,0.1300216,0.18189412,1.4522644,9.983999,0.06303954,0.7626408,10.832651116002936,47.69509884172585,448.7395138159298
0.36,11.252216,0.019895252,0.02451646,0.0021703423,0.04074593,0.12847792,0.17979725,1.428614,9.984727,0.07271218,1.0186409,11.35556615673108,52.296407687464075,492.0583220260201
0.37,11.840333,0.023214666,0.028619371,0.002359094,0.040101398,0.12672614,0.17742968,1.3991227,9.985567,0.08405342,1.1943622,11.96664734426719,57.38746109973707,541.7136397805407
0.38,12.161181,0.026747353,0.032975975,0.002554379,0.039456427,0.1249873,0.17507102,1.3652431,9.9865465,0.09790781,1.4590273,12.622385926590583,63.20881502013195,598.0702341235173
0.39,12.8418155,0.030219361,0.037248276,0.0027404197,0.03886015,0.123381324,0.17287818,1.3285229,9.9876795,0.113289945,1.619915,13.287227148131052,69.57833685226369,660.0912074684921
0.4,13.992676,0.034726862,0.04277701,0.0029768199,0.0381364,0.12151275,0.1703589,1.282923,9.988964,0.12853633,1.6056193,14.058528173984184,76.45349263241889,724.1856771269714
0.41000000000000003,14.828553,0.038555257,0.047462028,0.0031686805,0.037564665,0.12000834,0.16829658,1.2372468,9.990428,0.14633581,1.8744903,14.7815440794276,83.92089166311001,786.6820233006149
0.42,15.708129,0.044034556,0.054137364,0.0034393095,0.036797795,0.11811123,0.16575313,1.1791508,9.992055,0.16268453,1.7217087,15.642586385687398,92.03452692816096,846.7725835616392
0.43,17.1827515,0.04969274,0.061001897,0.0037066431,0.03607133,0.11633255,0.16335875,1.1151204,9.993879,0.18247424,2.0840836,16.529390269273396,100.79621729386264,904.7826287311502
0.44,17.1827515,0.05675335,0.069518484,0.00402905,0.035237346,0.11436713,0.16073866,1.0383863,10.001289,0.7410368,58.823055,17.522463678451402,110.23766457301419,960.1000565360428
0.45,19.3943965,0.065391466,0.07986412,0.0044058715,0.03431294,0.112260796,0.15794817,0.9464762,10.020667,1.9377232,126.02484,18.631309155176687,120.18008878074967,1012.6989771270253
0.46,19.3943965,0.075715505,0.0921232,0.00483161,0.033325084,0.11007755,0.15506904,0.8377638,10.059001,3.8334038,199.63696,19.85227750044312,130.57211854411315,1060.7030190618361
0.47000000000000003,21.236504,0.08892784,0.10763874,0.005346158,0.032200057,0.10768397,0.15194614,0.7049946,10.124043,6.504226,281.2683,21.238311712450585,141.22434651516454,1099.5645277127442
0.48,22.596573,0.10354521,0.12459074,0.0058690337,0.031122198,0.10543384,0.14901613,0.5562933,10.22476,10.0716915,375.69513,22.68298870611212,152.2545020396421,1126.023958027452
0.49,23.330021000000002,0.12274379,0.14650425,0.006520187,0.029849747,0.102886274,0.14575458,0.37822655,10.371173,14.641286,481.23077,24.29643878549446,163.64702000834075,1139.4589572693405
0.5,26.4726495,0.14727348,0.17395136,0.0072165634,0.028588386,0.100421175,0.14262444,0.1752453,10.575222,20.40488,606.9728,26.015583919666113,175.2382605803487,1139.828097679781
0.51,27.311237,0.17632003,0.20572028,0.007969601,0.027287662,0.097943775,0.13951765,-0.048640385,10.851477,27.625504,760.4147,27.797447982923497,186.86182388985998,1126.7864974225972
0.52,30.04332,0.21771753,0.24966939,0.00890494,0.025763074,0.09514906,0.1360855,-0.3080495,11.217552,36.607494,945.9068,29.747363466240724,198.2001635232732,1100.6295563737913
0.53,31.983745499999998,0.27318412,0.3064362,0.009972259,0.024113398,0.092208125,0.1325348,-0.59655195,11.69676,47.92081,1191.4225,31.80693266587557,209.08058080279395,1060.7674661410529
0.54,32.981857,0.35138258,0.38292122,0.0112182135,0.022280825,0.08905317,0.12878163,-0.91340345,12.320748,62.39885,1524.7041,33.971408833121075,219.33103739643718,1005.527194023225
0.55,35.109886,0.4701146,0.49243787,0.012737676,0.020148389,0.08553421,0.12465656,-1.2635313,13.134491,81.374245,1998.3275,36.27626346800262,229.00848325000933,937.9146600550724
0.56,36.234815499999996,0.63796103,0.63645995,0.014326513,0.018011022,0.082108535,0.12066925,-1.6275806,14.20656,107.206955,2720.4814,38.610119653337975,238.0657056828146,862.5271570933864
0.5700000000000001,38.5453325,0.89876145,0.8402391,0.016098255,0.015701875,0.07852712,0.11654602,-2.0108786,15.641056,143.44958,3816.7651,41.03368818292566,246.34726658532492,781.9533736462619
0.58,42.201065,1.0,1.0,0.021067,0.009128879,0.06893125,0.10586952,-2.404522,17.604036,196.29797,5565.544,43.52383727125783,253.75311517187703,698.8246301238696
0.59,43.628085999999996,0.99999976,0.9999998,0.029353213,5.7851564e-09,0.055167105,0.090674534,-2.7965627,20.257895,265.3858,7275.7417,46.0379829216051,260.35571922241587,614.6301109251553
0.6,49.427305000000004,0.99999976,0.9999999,0.04014896,5.3538023e-09,0.041194405,0.07527053,-3.2118177,23.694004,343.61096,8238.009,48.72243856678021,265.9105556961174,530.5298233849775
0.61,50.87776,0.99999994,1.0,0.046250787,1.2426707e-09,0.034431394,0.06757313,-3.6136532,27.958649,426.46454,8725.434,51.369256348763805,270.6597764419921,446.68578184472744
0.62,55.5416205,1.0,1.0,0.045776773,0.0,0.035652287,0.06843519,-4.0215282,33.064224,510.55768,8855.975,54.1539106895426,274.78082941077025,363.30765780528714
0.63,58.364596500000005,0.96716857,0.9718982,0.03308456,0.006905123,0.051183492,0.0843997,-4.403418,38.988773,592.45496,8624.726,56.912639609019216,277.9686229654635,281.37782088768654
0.64,61.16265,0.48719582,0.52412206,0.024760535,0.015613076,0.061899103,0.09554867,-4.7606573,45.64849,665.9715,7742.138,59.71103346762165,280.3810528266503,199.9349655261954
0.65,64.086545,0.274671,0.2470138,0.01912826,0.02299489,0.07067467,0.10477078,-5.0863943,52.65032,700.183,3602.861,62.571641742252666,282.0008789677314,118.6282576731703
0.66,65.54949,0.17025653,0.07296992,0.016279208,0.028625838,0.07726169,0.11178403,-5.3609295,59.625427,697.5109,-281.39923,65.39734328008029,282.9139387452504,40.91912718627337
0.67,69.8455875,0.11654761,3.164906e-07,0.015191368,0.032539733,0.0818746,0.11678233,-5.584357,66.308624,668.3197,-3074.1677,68.27934424349482,283.09516490457423,-31.648230601047054
0.68,71.323235,0.07774414,4.4167414e-06,0.014220672,0.03669454,0.08678511,0.122059196,-5.7540617,72.541695,623.30695,-4740.361,71.10568999424268,282.45641880226543,-98.49629047573521
0.6900000000000001,74.203636,0.07072805,5.756319e-07,0.014573602,0.03830914,0.08893877,0.12453278,-5.973136,78.23831,569.6613,-5649.501,73.88490209649402,281.06425056742563,-156.87967881721383
0.7000000000000001,78.386188,0.07550706,0.0,0.01521194,0.038393594,0.089394964,0.12524478,-6.1930575,83.33924,510.09308,-6273.2236,76.67371702661919,278.9774922671492,-207.09904876227347
0.71,79.75801,0.09272577,0.0,0.016349895,0.03588035,0.08694696,0.12298658,-6.4069667,87.81361,447.43658,-6598.4487,79.41923461279627,276.32992659032595,-251.28232530339943
0.72,82.38021,0.104459666,0.021558996,0.01705717,0.03386678,0.08491714,0.121061124,-6.619734,91.65479,384.11887,-6668.083,82.18764556609472,273.51702513680385,-289.21131378639564
0.73,84.95336,0.11346729,0.041243315,0.01754965,0.032254636,0.08325405,0.11944725,-6.8284106,94.87377,321.89746,-6552.63,84.94485995357498,270.6241371826605,-319.06418427527126
