time,angle,ctrl_BIClong,ctrl_BICshort,ctrl_BRA,ctrl_TRIlong,ctrl_TRIlat,ctrl_TRImed,tau_id,sim_angle_deg,sim_vel_deg_s,sim_acc_deg_s2,used_angle_deg,used_vel_deg_s,used_acc_deg_s2
0.0,87.673455,0.21716945,0.4030335,0.008555009,1.1176649e-06,1.2518783e-06,1.3229518e-06,-9.410112,89.16953,179.03477,-5155.953,87.37918412038782,227.99385177844906,-98.79522838044703
0.01,88.79139,0.10986871,0.19860603,0.0045314874,0.0,0.0,0.0,-9.579388,90.617714,144.81812,-3603.408,89.65456494059616,226.9442545069247,-128.50137396729642
0.02,92.339035,0.11187962,0.20345825,0.0045404555,8.511657e-08,9.1825804e-08,9.630787e-08,-9.741363,91.77567,115.7957,-3056.3943,91.91908610116971,225.55181710328287,-159.9957692248087
0.03,94.60978,0.13507935,0.24686712,0.005417183,3.425474e-08,3.629352e-08,3.7960945e-08,-9.895703,92.68577,91.0101,-2610.2087,94.16871593708836,223.80810791958825,-193.1896139852306
0.04,95.71073,0.1703037,0.31347555,0.0067109624,3.1969544e-14,3.3239253e-14,3.4653487e-14,-10.042139,93.398766,71.299545,-2075.7488,96.39942278333206,221.70469530790544,-227.99410808080899
0.05,98.994275,0.2198023,0.40633765,0.008433768,1.0587364e-11,1.0810361e-11,1.1234906e-11,-10.180461,93.9807,58.192795,-1380.2914,98.60717497488069,219.23314762029904,-264.3204513437906
0.06,100.10176,0.28689894,0.53155196,0.010621046,8.369375e-11,8.400896e-11,8.704145e-11,-10.310524,94.51918,53.84837,-457.51776,100.78794084671418,216.38503320883373,-302.07984360642206
0.07,103.2293875,0.37645388,0.69837916,0.013335517,2.8732183e-10,2.8386632e-10,2.932417e-10,-10.432245,95.12937,61.01916,755.1669,102.93768873381245,213.1519204255741,-341.1834847009523
0.08,105.27365,0.49025628,0.914083,0.016501661,5.199914e-10,5.062786e-10,5.2149834e-10,-10.545607,95.95827,82.89009,2303.2605,105.05238697115539,209.5253776225848,-381.81220637746816
0.09,107.28577999999999,0.6908279,0.9999983,0.022195866,9.936388e-08,9.544097e-08,9.8036956e-08,-10.650648,97.17961,122.13428,4132.864,107.12800389372293,205.49697315193046,-423.1217485969079
0.1,109.31194500000001,0.9246221,0.999999,0.028217817,4.993687e-08,4.735647e-08,4.8513886e-08,-10.747469,98.95185,177.22343,5801.522,109.160507836495,201.0582753656757,-465.76919561425717
0.11,111.3258175,1.0,0.9999604,0.037338708,1.3076087e-06,1.2250557e-06,1.2516892e-06,-10.836223,101.37419,242.23438,6846.4004,111.14586713445149,196.20085261588514,-509.31413789072326
0.12,113.28205500000001,0.99999994,1.0,0.0427074,4.4484496e-09,4.3178954e-09,4.3496615e-09,-10.917115,104.39565,302.14618,6309.402,113.08005012257232,190.91627325462304,-554.0953420557796
0.13,115.1404225,1.0,1.0,0.0383202,0.0,0.0,0.0,-10.9904,107.84961,345.39572,4554.674,114.95902513583741,185.16204201661031,-600.0097367924125
0.14,116.906845,0.96410257,0.99999976,0.030079076,0.00082662195,0.0008406815,0.00083871774,-11.056374,111.53485,368.52417,2435.6912,116.77876050922669,178.96903720693558,-647.3902465835768
0.15,118.58706000000001,0.90883297,0.8654709,0.02787731,0.002692641,0.0025198176,0.0025385444,-11.115368,115.25079,371.59436,323.32663,118.53522457772002,172.19796195160228,-696.3106969199644
0.16,120.21312,0.88888466,0.8107482,0.027557133,0.0031283642,0.0029018773,0.002921907,-11.167751,118.81908,356.82825,-1555.0433,120.22438567629737,164.96860386274287,-745.8402332701417
0.17,121.79359,0.8922192,0.81708574,0.028139122,0.0026411999,0.002463309,0.002477455,-11.2140875,122.11324,329.41663,-2886.757,121.84221213993862,157.3364376708945,-795.0866981482588
0.18,123.314415,0.91435295,0.8782267,0.029225571,0.0014272344,0.0013849864,0.0013913244,-11.255121,125.05172,293.8473,-3745.8591,123.38467230362372,149.17774564032877,-843.4597813656167
0.19,124.06231,0.9540703,0.99352366,0.030660775,3.977405e-10,1.6330043e-09,1.6379043e-09,-11.291213,127.586334,253.46184,-4253.054,124.84773450232895,140.51977809952393,-890.1491989208473
0.2,126.14746099999999,1.0,0.9999987,0.038475577,1.537888e-08,1.3916627e-08,1.3970356e-08,-11.322832,129.69266,210.63174,-4510.5015,126.23240649601587,131.39097438959476,-933.5448236726711
0.21,126.810196,0.99999976,0.99999946,0.053003773,7.969849e-08,7.036001e-08,7.0555e-08,-11.349101,131.35927,166.6619,-4630.5303,127.47488828256316,121.76179113602369,-972.6139559316714
0.22,128.63965000000002,1.0,1.0,0.074537545,1.1903594e-12,1.0399398e-12,1.0419241e-12,-11.372418,131.09856,-26.071838,-20297.078,128.6660884403898,111.79596379035664,-1007.8311886222981
0.23,129.82774999999998,1.0,1.0,0.1130993,8.8461335e-11,7.619365e-11,7.628869e-11,-11.3922205,130.53323,-56.531425,-3207.7446,129.75989730695335,101.5130279044691,-1039.4519038591059
0.24,130.89627000000002,1.0,1.0,0.15787005,2.9966582e-10,2.5460237e-10,2.5479274e-10,-11.408054,129.70679,-82.645836,-2750.148,130.7027163381637,90.93608292971776,-1067.6627557454165
0.25,131.810305,1.0,1.0,0.21005721,5.4386573e-10,4.5610404e-10,4.5626e-10,-11.421698,128.67238,-103.440704,-2189.9387,131.57576033742842,80.09679700998345,-1092.7822308695827
0.26,132.63034,1.0,1.0,0.26639268,6.899647e-10,5.7250055e-10,5.725288e-10,-11.432178,127.49351,-117.8865,-1521.3077,132.2932142075415,69.10744393284516,-1114.1127767010003
0.27,133.376275,1.0,0.99999994,0.3293668,8.5671364e-10,7.045443e-10,7.0441736e-10,-11.440947,126.24334,-125.017166,-750.94183,132.93152815625098,58.00614536323069,-1132.0528819878023
0.28,134.00866,1.0,0.99999994,0.398367,9.783563e-10,7.99098e-10,7.988212e-10,-11.44773,125.00313,-124.020645,104.94542,133.4535046777255,46.66527708424154,-1146.379100564684
0.29,134.487035,1.0,0.99999994,0.4733223,1.078654e-09,8.767269e-10,8.763218e-10,-11.452754,123.85883,-114.42982,1010.02435,133.8585511870303,35.15873546268095,-1156.168902960916
0.3,134.79500000000002,1.0,0.99999994,0.5524899,1.1221243e-09,9.093632e-10,9.088805e-10,-11.455897,122.895584,-96.32509,1906.6357,134.1210086640852,23.468740331606387,-1162.8212521911316
0.31,134.89355,0.99999994,0.9999999,0.6356831,1.1581086e-09,9.368312e-10,9.362915e-10,-11.458052,122.19025,-70.533356,2716.1665,134.30523894046573,11.645581849463968,-1166.4907106919125
0.32,134.83123999999998,0.99999994,0.9999999,0.71759605,1.0552047e-09,8.53217e-10,8.527174e-10,-11.458519,121.80364,-38.660645,3356.5632,134.3457153799718,-0.04571429194098811,-1166.642455089532
0.33,134.70144,1.0,0.99999994,0.7954995,8.9925173e-10,7.272905e-10,7.2687123e-10,-11.458086,121.77293,-3.0717444,3747.9204,134.30823533864532,-11.633670178986598,-1162.405341559316
0.34,134.452485,1.0,0.99999994,0.8633909,6.38324e-10,5.1682064e-10,5.165425e-10,-11.456278,122.10729,33.436466,3844.7344,134.153294162995,-23.184011637743104,-1151.9180650659007
0.35000000000000003,134.07587,1.0,1.0,0.916749,3.579838e-10,2.9041455e-10,2.902789e-10,-11.453032,122.787796,68.05084,3645.292,133.88142114413188,-34.44921798890075,-1134.6894406328342
0.36,133.54782999999998,1.0,1.0,0.9526584,1.3633708e-10,1.1094119e-10,1.1090157e-10,-11.448253,123.771416,98.36203,3192.117,133.49487779414963,-45.72003391859898,-1110.9724985130238
0.37,132.89875,1.0,1.0,0.9701474,2.0815023e-11,1.7013535e-11,1.701014e-11,-11.4418,124.996994,122.55732,2548.0415,132.9957171829991,-56.88459838329223,-1081.888539345472
0.38,132.21353,1.0,1.0,0.9699313,0.0,0.0,0.0,-11.433483,126.39237,139.538,1788.2609,132.38594079589907,-67.64281585084805,-1048.9301612125187
0.39,131.45785,1.0,1.0,0.95299333,0.0,0.00013632963,0.00013609295,-11.422622,127.88133,148.89574,985.47736,131.6372645745107,-78.08846634587479,-1012.4913771036288
0.4,130.60129,0.42639095,3.8087933e-06,0.94405305,0.0158064,0.013441761,0.013450737,-11.409146,129.3891,150.77779,198.2017,130.7703942995247,-88.02412315049384,-972.6604863494754
0.41000000000000003,129.64269000000002,0.0,3.341325e-05,0.9366437,0.029060569,0.024938421,0.024966031,-11.393306,130.77376,138.46445,-1296.7355,129.82244246295457,-97.48840018487343,-930.7239446245999
0.42,128.59662,3.353563e-07,1.1280513e-06,0.9244852,0.055799443,0.048625413,0.04870642,-11.37416,130.64867,-12.508207,-15899.157,128.75897255625614,-106.43933720522006,-886.9259629121618
0.43,127.473623,4.5190433e-07,1.4631803e-06,0.9153209,0.070178226,0.061819065,0.06195498,-11.352728,130.36728,-28.139647,-1646.1703,127.65423036468376,-115.00992547163425,-842.3677741734491
0.44,126.284033,1.0287741e-06,3.2194566e-06,0.9052003,0.08804515,0.07835697,0.07857694,-11.327836,129.9077,-45.9569,-1876.3618,126.46201597596111,-123.21040180908163,-799.7166776419785
0.45,125.0256675,1.3177676e-06,4.005554e-06,0.8945438,0.107796855,0.09688162,0.097220734,-11.299145,129.25543,-65.22732,-2029.3964,125.18510242822016,-131.04983205855504,-760.1927649463677
0.46,123.6967425,1.7258963e-06,5.11105e-06,0.8833497,0.1296167,0.11761841,0.11812527,-11.265288,128.39987,-85.55598,-2140.8418,123.78569790436238,-138.582657019744,-725.429887371396
0.47000000000000003,122.28804,1.7451641e-06,5.051938e-06,0.8724254,0.15050688,0.13769902,0.13840969,-11.228398,127.33278,-106.70905,-2227.6624,122.36725850980838,-145.7304664467303,-696.6814040031506
0.48,120.78595999999999,1.9528115e-06,5.5351966e-06,0.861397,0.17258474,0.1591273,0.1601028,-11.1856165,126.04919,-128.35971,-2280.0632,120.8340599501512,-152.5515135290697,-674.153048790124
0.49,120.00845,1.7277323e-06,4.8091797e-06,0.8511298,0.19237217,0.17844473,0.17970908,-11.140212,124.54704,-150.2141,-2301.5178,119.31921969458612,-159.0910025110847,-657.4886653062813
0.5,117.514212,1.7120814e-06,4.6870314e-06,0.84120363,0.21222603,0.19795458,0.19955218,-11.088417,122.82928,-171.7763,-2270.749,117.71574773119687,-165.41104072498518,-646.1342299146181
0.51,116.652214,1.5801818e-06,4.2617944e-06,0.8318462,0.23120134,0.21670832,0.21867158,-11.030625,120.90374,-192.55418,-2188.149,116.05222762914836,-171.70662789517604,-641.1787937797073
0.52,113.98514,1.362377e-06,3.625446e-06,0.8232299,0.24869925,0.23409623,0.23644592,-10.966514,118.78363,-212.01073,-2048.9983,114.33163936762516,-178.1464668954268,-643.9044732173173
0.53,112.14954,1.087674e-06,2.8593552e-06,0.81549454,0.26428223,0.24967428,0.25241876,-10.895184,116.488045,-229.55846,-1847.9769,112.5423935771734,-184.67009945016997,-654.0668830063993
0.54,110.237995,8.102607e-07,2.1062563e-06,0.8086922,0.27785248,0.26333258,0.2664697,-10.815973,114.04226,-244.57854,-1581.7875,110.68130789609744,-191.34538430815874,-670.197744252233
0.55,108.2471025,6.2070734e-07,1.5960915e-06,0.80252326,0.2905816,0.27628496,0.27983245,-10.725657,111.47656,-256.56964,-1262.8008,108.6914340367851,-198.10743986462694,-688.9886747163597
0.56,106.2093275,3.158511e-07,8.006319e-07,0.79756886,0.30011544,0.2860466,0.289954,-10.629158,108.82179,-265.47678,-938.0248,106.69320054089245,-204.97992036472073,-707.5043736507647
